user_id,current_job,target_job
u082,15-1255.00,15-2031.00
u083,15-2031.00,15-2051.00
u084,15-2051.00,15-1211.00
u085,15-1211.00,15-2051.00
u086,15-1212.00,15-1242.00
u087,15-1242.00,15-2051.00
u088,15-1243.00,15-1244.00
u089,15-1244.00,15-1212.00
u090,15-1251.00,15-1252.00
u091,15-1252.00,15-1253.00
u092,15-1253.00,15-1252.00
u093,15-1254.00,15-1252.00
u094,15-1255.00,15-2031.00
u095,15-2031.00,15-2051.00
u096,15-2051.00,15-1211.00
u097,15-1211.00,15-2051.00
u098,15-1212.00,15-1242.00
u099,15-1242.00,15-2051.00
u100,15-1243.00,15-1244.00
u101,15-1244.00,15-1212.00
u102,15-1251.00,15-1252.00
u103,15-1252.00,15-1253.00
u104,15-1253.00,15-1252.00
u105,15-1254.00,15-1252.00
u106,15-1255.00,15-2031.00
u107,15-2031.00,15-2051.00
u108,15-2051.00,15-1211.00
u109,15-1211.00,15-2051.00
u110,15-1212.00,15-1242.00
u111,15-1242.00,15-2051.00
u112,15-1243.00,15-1244.00
u113,15-1244.00,15-1212.00
u114,15-1251.00,15-1252.00
u115,15-1252.00,15-1253.00
u116,15-1253.00,15-1252.00
u117,15-1254.00,15-1252.00
u118,15-1255.00,15-2031.00
u119,15-2031.00,15-2051.00
u120,15-2051.00,15-1211.00
u121,15-1211.00,15-2051.00
u122,15-1212.00,15-1242.00
u123,15-1242.00,15-2051.00
u124,15-1243.00,15-1244.00
u125,15-1244.00,15-1212.00
u126,15-1251.00,15-1252.00
u127,15-1252.00,15-1253.00
u128,15-1253.00,15-1252.00
u129,15-1254.00,15-1252.00
u130,15-1255.00,15-2031.00
u131,15-2031.00,15-2051.00
u132,15-2051.00,15-1211.00
u133,15-1211.00,15-2051.00
u134,15-1212.00,15-1242.00
u135,15-1242.00,15-2051.00
u136,15-1243.00,15-1244.00
u137,15-1244.00,15-1212.00
u138,15-1251.00,15-1252.00
u139,15-1252.00,15-1253.00
u140,15-1253.00,15-1252.00
u141,15-1254.00,15-1252.00
u142,15-1255.00,15-2031.00
u143,15-2031.00,15-2051.00
u144,15-2051.00,15-1211.00
u145,15-1211.00,15-2051.00
u146,15-1212.00,15-1242.00
u147,15-1242.00,15-2051.00
u148,15-1243.00,15-1244.00
u149,15-1244.00,15-1212.00
u150,15-1251.00,15-1252.00
u151,15-1252.00,15-1253.00
u152,15-1253.00,15-1252.00
u153,15-1254.00,15-1252.00
u154,15-1255.00,15-2031.00
u155,15-2031.00,15-2051.00
u156,15-2051.00,15-1211.00
u157,15-1211.00,15-2051.00
u158,15-1212.00,15-1242.00
u159,15-1242.00,15-2051.00
u160,15-1243.00,15-1244.00
u161,15-1244.00,15-1212.00
u162,15-1251.00,15-1252.00
u163,15-1252.00,15-1253.00
u164,15-1253.00,15-1252.00
u165,15-1254.00,15-1252.00
u166,15-1255.00,15-2031.00
u167,15-2031.00,15-2051.00
u168,15-2051.00,15-1211.00
u169,15-1211.00,15-2051.00
u170,15-1212.00,15-1242.00
u171,15-1242.00,15-2051.00
u172,15-1243.00,15-1244.00
u173,15-1244.00,15-1212.00
u174,15-1251.00,15-1252.00
u175,15-1252.00,15-1253.00
u176,15-1253.00,15-1252.00
u177,15-1254.00,15-1252.00
u178,15-1255.00,15-2031.00
u179,15-2031.00,15-2051.00
u180,15-2051.00,15-1211.00
u181,15-1211.00,15-2051.00
u182,15-1212.00,15-1242.00
u183,15-1242.00,15-2051.00
u184,15-1243.00,15-1244.00
u185,15-1244.00,15-1212.00
u186,15-1251.00,15-1252.00
u187,15-1252.00,15-1253.00
u188,15-1253.00,15-1252.00
u189,15-1254.00,15-1252.00
u190,15-1255.00,15-2031.00
u191,15-2031.00,15-2051.00
u192,15-2051.00,15-1211.00
u193,15-1211.00,15-2051.00
u194,15-1212.00,15-1242.00
u195,15-1242.00,15-2051.00
u196,15-1243.00,15-1244.00
u197,15-1244.00,15-1212.00
u198,15-1251.00,15-1252.00
u199,15-1252.00,15-1253.00
u200,15-1253.00,15-1252.00
u201,15-1254.00,15-1252.00
u202,15-1255.00,15-2031.00
u203,15-2031.00,15-2051.00
u204,15-2051.00,15-1211.00
u205,15-1211.00,15-2051.00
u206,15-1212.00,15-1242.00
u207,15-1242.00,15-2051.00
u208,15-1243.00,15-1244.00
u209,15-1244.00,15-1212.00
u210,15-1251.00,15-1252.00
u211,15-1252.00,15-1253.00
u212,15-1253.00,15-1252.00
u213,15-1254.00,15-1252.00
u214,15-1255.00,15-2031.00
u215,15-2031.00,15-2051.00
u216,15-2051.00,15-1211.00
u217,15-1211.00,15-2051.00
u218,15-1212.00,15-1242.00
u219,15-1242.00,15-2051.00
u220,15-1243.00,15-1244.00
u221,15-1244.00,15-1212.00
u222,15-1251.00,15-1252.00
u223,15-1252.00,15-1253.00
u224,15-1253.00,15-1252.00
u225,15-1254.00,15-1252.00
u226,15-1255.00,15-2031.00
u227,15-2031.00,15-2051.00
u228,15-2051.00,15-1211.00
u229,15-1211.00,15-2051.00
u230,15-1212.00,15-1242.00
u231,15-1242.00,15-2051.00
u232,15-1243.00,15-1244.00
u233,15-1244.00,15-1212.00
u234,15-1251.00,15-1252.00
u235,15-1252.00,15-1253.00
u236,15-1253.00,15-1252.00
u237,15-1254.00,15-1252.00
u238,15-1255.00,15-2031.00
u239,15-2031.00,15-2051.00
u240,15-2051.00,15-1211.00
u241,15-1211.00,15-2051.00
u242,15-1212.00,15-1242.00
u243,15-1242.00,15-2051.00
u244,15-1243.00,15-1244.00
u245,15-1244.00,15-1212.00
u246,15-1251.00,15-1252.00
u247,15-1252.00,15-1253.00
u248,15-1253.00,15-1252.00
u249,15-1254.00,15-1252.00
u250,15-1255.00,15-2031.00
u251,15-2031.00,15-2051.00
u252,15-2051.00,15-1211.00
u253,15-1211.00,15-2051.00
u254,15-1212.00,15-1242.00
u255,15-1242.00,15-2051.00
u256,15-1243.00,15-1244.00
u257,15-1244.00,15-1212.00
u258,15-1251.00,15-1252.00
u259,15-1252.00,15-1253.00
u260,15-1253.00,15-1252.00
u261,15-1254.00,15-1252.00
u262,15-1255.00,15-2031.00
u263,15-2031.00,15-2051.00
u264,15-2051.00,15-1211.00
u265,15-1211.00,15-2051.00
u266,15-1212.00,15-1242.00
u267,15-1242.00,15-2051.00
u268,15-1243.00,15-1244.00
u269,15-1244.00,15-1212.00
u270,15-1251.00,15-1252.00
u271,15-1252.00,15-1253.00
u272,15-1253.00,15-1252.00
u273,15-1254.00,15-1252.00
u274,15-1255.00,15-2031.00
u275,15-2031.00,15-2051.00
u276,15-2051.00,15-1211.00
u277,15-1211.00,15-2051.00
u278,15-1212.00,15-1242.00
u279,15-1242.00,15-2051.00
u280,15-1243.00,15-1244.00
u281,15-1244.00,15-1212.00
u282,15-1251.00,15-1252.00
u283,15-1252.00,15-1253.00
u284,15-1253.00,15-1252.00
u285,15-1254.00,15-1252.00
u286,15-1255.00,15-2031.00
u287,15-2031.00,15-2051.00
u288,15-2051.00,15-1211.00
u289,15-1211.00,15-2051.00
u290,15-1212.00,15-1242.00
u291,15-1242.00,15-2051.00
u292,15-1243.00,15-1244.00
u293,15-1244.00,15-1212.00
u294,15-1251.00,15-1252.00
u295,15-1252.00,15-1253.00
u296,15-1253.00,15-1252.00
u297,15-1254.00,15-1252.00
u298,15-1255.00,15-2031.00
u299,15-2031.00,15-2051.00
u300,15-2051.00,15-1211.00
