user_id,2.A.1.a,2.A.1.b,2.A.1.c,2.A.1.d,2.A.1.e,2.A.1.f,2.A.2.a,2.A.2.b,2.A.2.c,2.A.2.d,2.B.1.a,2.B.1.b,2.B.1.c,2.B.1.d,2.B.1.e,2.B.1.f,2.B.2.i,2.B.3.a,2.B.3.b,2.B.3.c,2.B.3.d,2.B.3.e,2.B.3.g,2.B.3.h,2.B.3.j,2.B.3.k,2.B.3.l,2.B.3.m,2.B.4.e,2.B.4.g,2.B.4.h,2.B.5.a,2.B.5.b,2.B.5.c,2.B.5.d
u011,0.698609,0.638653,0.705914,0.536838,0.908369,0.483122,0.653139,0.63711,0.551556,0.414978,0.511251,0.673793,0.474405,0.36728,0.560321,0.479296,0.745104,0.692443,0.281023,0.291993,0.241934,0.438957,0.229865,0.205161,0.288888,0.210686,0.198615,0.267937,0.584466,0.611566,0.729645,0.56487,0.33044,0.320867,0.306329
u012,0.787791,0.658309,0.621009,0.607384,0.620662,0.256499,0.605151,0.543341,0.462577,0.603128,0.521852,0.600759,0.51136,0.395078,0.542788,0.453613,0.609028,0.454167,0.280983,0.284788,0.208475,0.432994,0.385911,0.363148,0.309084,0.30021,0.303317,0.291927,0.6523,0.540474,0.63964,0.538478,0.25544,0.305538,0.456383
u013,0.704067,0.631524,0.635926,0.736673,0.539,0.429063,0.630614,0.593753,0.524776,0.65472,0.497797,0.655954,0.451301,0.361625,0.546451,0.557718,0.559448,0.630551,0.467258,0.45284,0.265505,0.575724,0.535137,0.41104,0.206598,0.557759,0.324715,0.506333,0.685996,0.675681,0.620755,0.468454,0.326583,0.270714,0.430479
u014,0.679492,0.619542,0.49864,0.640122,0.296264,0.297728,0.647963,0.615252,0.462354,0.614436,0.442276,0.61037,0.478,0.507318,0.453604,0.37609,0.620102,0.404596,0.34039,0.198541,0.231531,0.363949,0.45219,0.237275,0.206505,0.339035,0.231858,0.441513,0.574153,0.61957,0.518782,0.557127,0.329646,0.23902,0.450089
u015,0.723827,0.655304,0.65287,0.587691,0.548217,0.346753,0.702563,0.718951,0.538747,0.614694,0.455256,0.465245,0.424481,0.32893,0.521015,0.425328,0.619977,0.482188,0.35053,0.208445,0.253294,0.470277,0.462398,0.209424,0.21229,0.458604,0.29808,0.389444,0.71166,0.656778,0.659174,0.504635,0.324296,0.305203,0.528715
u016,0.603635,0.640255,0.517806,0.5365,0.575345,0.316239,0.650264,0.551134,0.504454,0.545356,0.487239,0.605933,0.490199,0.370666,0.608697,0.413084,0.719184,0.578093,0.580551,0.189393,0.241452,0.66387,0.356757,0.324294,0.30048,0.300942,0.194631,0.325484,0.598941,0.592187,0.5962,0.489853,0.308937,0.336831,0.385071
u017,0.681538,0.616701,0.606564,0.565103,0.561929,0.329605,0.61352,0.598418,0.520072,0.605805,0.429532,0.53051,0.415455,0.491039,0.658065,0.448327,0.64083,0.581408,0.415286,0.491136,0.250942,0.570258,0.566399,0.519542,0.556929,0.709184,0.531482,0.625458,0.587163,0.724905,0.701144,0.596724,0.330444,0.351475,0.527697
u018,0.595465,0.639531,0.535438,0.577466,0.474268,0.397823,0.679924,0.492809,0.389374,0.469716,0.585969,0.379881,0.382903,0.314981,0.375594,0.450499,0.633773,0.574373,0.461954,0.186599,0.289182,0.874714,0.32541,0.259521,0.206282,0.308009,0.189843,0.635323,0.554131,0.542011,0.60525,0.450055,0.270709,0.336548,0.450719
u019,0.656581,0.576047,0.559516,0.519777,0.573039,0.364956,0.707607,0.639251,0.388897,0.56881,0.486177,0.568954,0.407357,0.46195,0.495774,0.503235,0.611957,0.293679,0.585447,0.276232,0.268278,0.308977,0.404447,0.219802,0.298214,0.365625,0.282791,0.25274,0.619413,0.582766,0.723545,0.535641,0.246586,0.350834,0.397969
u020,0.64884,0.534789,0.673588,0.64353,0.479535,0.482785,0.658278,0.454479,0.45566,0.647241,0.389599,0.430146,0.505252,0.401452,0.355686,0.431311,0.494569,0.6165,0.443688,0.251963,0.357385,0.641545,0.406356,0.389404,0.293691,0.48097,0.192334,0.598443,0.53948,0.516202,0.576465,0.597964,0.294169,0.256651,0.329421
u021,0.535285,0.664521,0.52744,0.479894,0.50402,0.398255,0.619365,0.656605,0.559772,0.545448,0.420668,0.497226,0.48466,0.414235,0.477041,0.470598,0.595726,0.697926,0.416259,0.368236,0.258736,0.665984,0.454474,0.244245,0.313789,0.319276,0.230179,0.44883,0.674816,0.583156,0.523278,0.443896,0.289153,0.350574,0.3629
u022,0.60118,0.68775,0.558251,0.544156,0.50003,0.236417,0.584234,0.670509,0.498564,0.505612,0.509689,0.551107,0.512136,0.529398,0.446312,0.411971,0.616244,0.465919,0.529572,0.199592,0.233601,0.676569,0.332001,0.212287,0.300452,0.248452,0.288899,0.362751,0.584376,0.61047,0.611547,0.55111,0.264259,0.350518,0.330463
u023,0.617661,0.684659,0.674513,0.699037,0.73245,0.531973,0.616578,0.654882,0.499576,0.417506,0.428298,0.542631,0.559316,0.399678,0.498291,0.3734,0.754,0.636871,0.269934,0.200479,0.282145,0.357991,0.248596,0.273871,0.262127,0.246344,0.252433,0.29445,0.722733,0.614577,0.675237,0.481612,0.241474,0.294134,0.373938
u024,0.701833,0.685163,0.651414,0.63471,0.571884,0.329609,0.744557,0.553996,0.596313,0.562642,0.45838,0.504109,0.414056,0.393262,0.427938,0.366926,0.641866,0.37291,0.278937,0.225521,0.206075,0.534089,0.286031,0.298759,0.281649,0.275019,0.268077,0.320763,0.61979,0.561212,0.616761,0.527523,0.302185,0.310691,0.373681
u025,0.70613,0.594764,0.585992,0.641757,0.505728,0.371888,0.650256,0.626529,0.580041,0.618526,0.588238,0.573269,0.416432,0.374192,0.532639,0.539165,0.705396,0.542589,0.568975,0.357651,0.314403,0.641956,0.56902,0.334168,0.26344,0.659282,0.325606,0.517957,0.613676,0.689107,0.62898,0.558556,0.320222,0.355248,0.497788
u026,0.653203,0.64231,0.60218,0.590696,0.421014,0.366641,0.754843,0.624141,0.496315,0.609519,0.494873,0.48241,0.478239,0.350157,0.510323,0.42428,0.629827,0.485871,0.345212,0.232925,0.190666,0.32806,0.517554,0.259306,0.227497,0.471166,0.254419,0.491321,0.579027,0.590228,0.497889,0.530076,0.290602,0.177913,0.522496
u027,0.618852,0.662146,0.557233,0.632332,0.522413,0.285976,0.618764,0.685473,0.4817,0.583144,0.399537,0.517137,0.497568,0.413849,0.578114,0.450113,0.610067,0.550596,0.349171,0.309737,0.32111,0.626788,0.489926,0.274027,0.216787,0.316042,0.254649,0.399435,0.618642,0.495276,0.611791,0.426394,0.330838,0.290038,0.384781
u028,0.692034,0.623161,0.527003,0.58475,0.476377,0.290039,0.661231,0.628151,0.484833,0.648295,0.555012,0.517276,0.497215,0.357724,0.597259,0.556138,0.692084,0.553794,0.517597,0.283967,0.301754,0.595108,0.443125,0.276392,0.235633,0.237611,0.322806,0.385911,0.590476,0.669219,0.552755,0.512873,0.310858,0.247908,0.356055
u029,0.674515,0.692899,0.687193,0.672465,0.552674,0.312742,0.706327,0.581515,0.528017,0.637201,0.49539,0.526552,0.411959,0.385052,0.506177,0.526053,0.716468,0.422475,0.474368,0.524675,0.356775,0.749786,0.592377,0.55441,0.556717,0.642201,0.478093,0.559336,0.62951,0.677773,0.61983,0.538303,0.315951,0.45106,0.501338
u030,0.502539,0.663323,0.488306,0.562562,0.638213,0.446486,0.588346,0.534518,0.305183,0.561999,0.521615,0.456042,0.463495,0.329327,0.430424,0.427203,0.621858,0.566705,0.444329,0.287507,0.175423,0.969358,0.314685,0.179448,0.236769,0.325703,0.246981,0.561456,0.472485,0.535093,0.550668,0.497779,0.429029,0.244798,0.442362
u031,0.676603,0.634015,0.529792,0.518021,0.468335,0.271788,0.70344,0.598531,0.374125,0.522727,0.420151,0.628676,0.4025,0.324524,0.627307,0.477703,0.574803,0.253562,0.605181,0.259186,0.224019,0.245709,0.384422,0.27746,0.241168,0.381626,0.292048,0.309875,0.496897,0.620961,0.61194,0.56619,0.318727,0.322429,0.320183
u032,0.696703,0.740762,0.679183,0.730484,0.381903,0.464281,0.600807,0.51925,0.468888,0.628153,0.466136,0.48098,0.41884,0.421034,0.489324,0.441928,0.532257,0.591358,0.370211,0.32265,0.339795,0.607628,0.457838,0.372351,0.214812,0.481414,0.224968,0.593798,0.495746,0.570703,0.563837,0.522357,0.289518,0.230671,0.373976
u033,0.617483,0.563398,0.521284,0.50465,0.411922,0.377831,0.662258,0.508428,0.472101,0.594542,0.486094,0.474045,0.530178,0.420083,0.481048,0.411893,0.591402,0.624625,0.411366,0.306794,0.310994,0.761,0.35213,0.239093,0.219238,0.358097,0.31462,0.445607,0.549093,0.514032,0.470538,0.412598,0.251281,0.302142,0.36379
u034,0.692996,0.699698,0.565386,0.529116,0.419103,0.21117,0.6034,0.618698,0.500147,0.602745,0.499406,0.488448,0.518118,0.552187,0.577107,0.457391,0.572326,0.510231,0.497144,0.236681,0.197616,0.58785,0.416682,0.30142,0.191287,0.287993,0.233573,0.329885,0.56707,0.543154,0.558712,0.566857,0.370699,0.379122,0.450728
u035,0.710363,0.585718,0.661586,0.660125,0.941172,0.511409,0.732894,0.676848,0.541978,0.47208,0.389211,0.552168,0.475224,0.367786,0.491608,0.379335,0.811706,0.714882,0.355898,0.213194,0.193201,0.32083,0.258751,0.244023,0.236698,0.273673,0.154761,0.383029,0.733913,0.637464,0.733396,0.495805,0.22026,0.273467,0.301219
u036,0.638385,0.665525,0.743905,0.643085,0.599773,0.282066,0.7496,0.689082,0.569383,0.568464,0.450864,0.596319,0.415535,0.334281,0.542906,0.472162,0.628541,0.390764,0.271294,0.279347,0.216274,0.425195,0.260941,0.314969,0.236645,0.224705,0.209579,0.38546,0.641136,0.611605,0.582221,0.474342,0.295841,0.298849,0.418372
u037,0.68794,0.675879,0.540585,0.669038,0.528795,0.379949,0.737784,0.622862,0.477046,0.674769,0.480596,0.545087,0.400414,0.271986,0.60182,0.489867,0.619321,0.507602,0.499164,0.363401,0.300887,0.651357,0.530077,0.384501,0.312942,0.512233,0.295691,0.511895,0.640066,0.742769,0.688987,0.454187,0.43118,0.287319,0.499529
u038,0.780228,0.715331,0.586845,0.59516,0.372818,0.327416,0.683017,0.644498,0.494742,0.629897,0.408994,0.574896,0.359273,0.416248,0.457698,0.506098,0.664798,0.375319,0.416318,0.312719,0.305726,0.445678,0.617509,0.288918,0.276886,0.403185,0.289481,0.502336,0.615947,0.638586,0.663295,0.529631,0.376433,0.1972,0.418151
u039,0.744293,0.648451,0.633373,0.635848,0.498843,0.243281,0.726002,0.595444,0.466935,0.63332,0.458955,0.540794,0.426967,0.323614,0.616233,0.469295,0.71366,0.538636,0.392445,0.317863,0.251583,0.55916,0.369457,0.285263,0.269926,0.392189,0.202386,0.414133,0.761753,0.578905,0.616678,0.415829,0.307776,0.243602,0.438667
u040,0.627629,0.571562,0.576539,0.661007,0.51761,0.32439,0.673635,0.554157,0.415844,0.48075,0.468916,0.557877,0.421727,0.404344,0.625466,0.506706,0.714748,0.568981,0.543193,0.187462,0.292471,0.631105,0.278985,0.326858,0.254978,0.331961,0.20928,0.301501,0.646962,0.626939,0.589527,0.460143,0.30727,0.308645,0.352297
u041,0.659717,0.755743,0.564254,0.599302,0.54687,0.310668,0.56701,0.603014,0.604326,0.64968,0.509406,0.575133,0.423755,0.372062,0.510849,0.381774,0.623515,0.573387,0.340101,0.489959,0.385134,0.599635,0.593363,0.577817,0.629622,0.692641,0.523824,0.640279,0.667912,0.68128,0.611022,0.56105,0.376222,0.509638,0.528409
u042,0.497452,0.611177,0.571972,0.557872,0.515843,0.386433,0.558894,0.537748,0.368555,0.45845,0.461991,0.422837,0.495112,0.353031,0.461695,0.414765,0.638987,0.5606,0.466122,0.254107,0.188946,0.857848,0.388015,0.308376,0.244392,0.301535,0.311174,0.650322,0.55073,0.539864,0.590998,0.560304,0.21826,0.329079,0.418039
u043,0.662534,0.540312,0.589094,0.578451,0.558866,0.214927,0.661845,0.583585,0.391655,0.591915,0.540309,0.407453,0.397298,0.404755,0.471159,0.55084,0.464457,0.293077,0.592779,0.212825,0.190487,0.220374,0.433226,0.184409,0.282345,0.368726,0.280131,0.200036,0.619715,0.597556,0.61762,0.566865,0.242383,0.276992,0.301881
u044,0.731567,0.662231,0.676229,0.618726,0.369155,0.447298,0.699702,0.471696,0.450576,0.710647,0.4309,0.491712,0.357564,0.392959,0.373413,0.495948,0.519386,0.603333,0.411226,0.325593,0.337102,0.649777,0.484832,0.213391,0.24351,0.447642,0.176782,0.560073,0.568745,0.541469,0.577109,0.521335,0.262436,0.299264,0.347102
u045,0.651494,0.573826,0.525647,0.544691,0.422369,0.352711,0.627231,0.593058,0.489609,0.645836,0.487766,0.493899,0.578679,0.525984,0.499928,0.38878,0.618852,0.70092,0.36281,0.466185,0.253437,0.64604,0.350771,0.275759,0.335646,0.374332,0.165516,0.412282,0.575964,0.532271,0.4675,0.412346,0.253434,0.333981,0.324938
u046,0.638225,0.660136,0.632865,0.614603,0.570586,0.283015,0.723178,0.549521,0.483568,0.594041,0.540208,0.558608,0.453668,0.550148,0.53008,0.37025,0.603626,0.56169,0.590646,0.245957,0.172046,0.745469,0.394136,0.245538,0.307363,0.203674,0.226756,0.407685,0.590474,0.486245,0.597767,0.532534,0.342687,0.350572,0.464044
u047,0.710912,0.785827,0.734916,0.737148,0.850531,0.510139,0.743532,0.658672,0.569363,0.494276,0.423238,0.531061,0.467077,0.380009,0.537692,0.39154,0.676524,0.671591,0.310022,0.184472,0.213961,0.395097,0.294299,0.253004,0.194397,0.155141,0.30763,0.347602,0.673685,0.603083,0.636729,0.472169,0.344457,0.29514,0.36529
u048,0.614196,0.680836,0.724008,0.628929,0.654107,0.291767,0.670191,0.600974,0.535515,0.624332,0.500294,0.554163,0.580468,0.413675,0.626051,0.467866,0.511857,0.432537,0.285787,0.290327,0.263708,0.451473,0.328561,0.33372,0.161565,0.326753,0.306902,0.351084,0.676525,0.573003,0.493959,0.556364,0.255916,0.247138,0.374238
u049,0.701908,0.639755,0.579787,0.632767,0.485932,0.336248,0.640469,0.606939,0.585606,0.594607,0.553288,0.562573,0.469155,0.427931,0.539609,0.522482,0.643088,0.568172,0.562473,0.410107,0.32566,0.581901,0.467271,0.379984,0.218873,0.524473,0.374251,0.556959,0.710783,0.636108,0.658415,0.520173,0.366182,0.299505,0.444115
u050,0.634055,0.668017,0.57686,0.540662,0.369974,0.3986,0.743942,0.614844,0.541131,0.47465,0.375457,0.487118,0.400603,0.412345,0.4254,0.357899,0.548584,0.400746,0.354354,0.210017,0.297646,0.381376,0.511512,0.223717,0.311732,0.389302,0.214291,0.497547,0.557513,0.534287,0.505723,0.498052,0.292727,0.313065,0.378308
u051,0.728485,0.70398,0.63281,0.540218,0.593649,0.384932,0.657635,0.649601,0.521605,0.59337,0.528581,0.520801,0.428942,0.293459,0.452237,0.495233,0.668601,0.564089,0.313181,0.241345,0.221212,0.546156,0.38401,0.300298,0.257187,0.325535,0.152492,0.347068,0.704985,0.637258,0.542411,0.499428,0.248198,0.26228,0.494492
u052,0.768631,0.647738,0.629284,0.5879,0.550985,0.280858,0.700947,0.64652,0.406832,0.549925,0.41383,0.551755,0.460484,0.471544,0.598079,0.488613,0.611113,0.49988,0.469664,0.304169,0.283234,0.564566,0.347503,0.308321,0.189299,0.289816,0.221635,0.310015,0.622903,0.660029,0.546111,0.581186,0.295154,0.326685,0.367798
u053,0.596186,0.614037,0.582765,0.631311,0.455022,0.376741,0.69975,0.561523,0.550023,0.567175,0.607208,0.443186,0.431892,0.321619,0.52753,0.507825,0.620366,0.563895,0.420253,0.509369,0.382934,0.560776,0.591528,0.576148,0.638009,0.672196,0.443296,0.572295,0.625869,0.642929,0.598867,0.543031,0.337553,0.384048,0.491871
u054,0.655117,0.638001,0.559198,0.486885,0.578232,0.432787,0.666783,0.511887,0.425007,0.543691,0.57037,0.504853,0.420327,0.404844,0.43793,0.370653,0.682843,0.643067,0.465373,0.320617,0.212782,0.827996,0.293604,0.229585,0.264861,0.382669,0.250982,0.598589,0.52647,0.592168,0.618498,0.511616,0.339679,0.212986,0.47393
u055,0.693843,0.604448,0.525411,0.605525,0.552608,0.305016,0.737562,0.542145,0.407399,0.521508,0.458493,0.550705,0.45604,0.471309,0.515654,0.436796,0.643906,0.233584,0.564776,0.208083,0.29339,0.194135,0.385986,0.279354,0.294743,0.413474,0.281551,0.274894,0.601622,0.557791,0.709773,0.573412,0.269024,0.295832,0.340715
u056,0.752762,0.717711,0.615291,0.717199,0.421616,0.44919,0.706118,0.491707,0.406133,0.578916,0.457757,0.477585,0.441468,0.424499,0.40455,0.396024,0.550936,0.524606,0.34697,0.316608,0.337796,0.663089,0.447536,0.295204,0.327649,0.449634,0.239946,0.513376,0.586159,0.434097,0.521864,0.540841,0.277863,0.268789,0.411281
u057,0.56179,0.614114,0.54022,0.571299,0.438792,0.373207,0.706527,0.608492,0.52288,0.474456,0.410618,0.53304,0.519325,0.418345,0.481772,0.367442,0.616184,0.64133,0.404654,0.351093,0.203793,0.6879,0.402218,0.262873,0.27953,0.379126,0.337242,0.413579,0.571373,0.505785,0.630341,0.502424,0.203876,0.295069,0.398429
u058,0.606702,0.533442,0.578639,0.591536,0.539622,0.305855,0.604758,0.531314,0.417998,0.58984,0.514706,0.553131,0.514826,0.465426,0.47582,0.444788,0.635869,0.511308,0.534443,0.277288,0.182851,0.687535,0.340625,0.206123,0.256913,0.217887,0.246405,0.316498,0.622042,0.588945,0.568202,0.615121,0.30266,0.241439,0.447019
u059,0.797647,0.721442,0.646184,0.600252,0.760945,0.525092,0.689882,0.657674,0.456678,0.523062,0.415075,0.477519,0.517565,0.223577,0.596037,0.481016,0.772295,0.545447,0.304911,0.207889,0.183874,0.478521,0.313244,0.284285,0.219476,0.2383,0.251631,0.316229,0.706987,0.716851,0.694512,0.462548,0.223673,0.315657,0.540441
u060,0.667404,0.623261,0.653634,0.74196,0.633363,0.331731,0.736507,0.762167,0.527506,0.59371,0.51803,0.452447,0.363865,0.452784,0.431713,0.407855,0.662405,0.406946,0.271627,0.342981,0.188264,0.498799,0.330248,0.275705,0.199407,0.269085,0.212766,0.354978,0.685099,0.571958,0.558784,0.591353,0.317842,0.265208,0.36015
u061,0.706089,0.686137,0.642389,0.69454,0.532893,0.384992,0.681399,0.555147,0.507537,0.62835,0.515245,0.589999,0.37359,0.406216,0.635774,0.55758,0.6229,0.615873,0.501139,0.407024,0.257273,0.633629,0.488346,0.474753,0.319749,0.604337,0.315151,0.560315,0.672732,0.615247,0.625078,0.609033,0.392984,0.421645,0.503631
u062,0.67967,0.667757,0.660227,0.604233,0.307352,0.232316,0.657845,0.5246,0.543822,0.665463,0.467821,0.593263,0.447236,0.435459,0.49378,0.446552,0.642701,0.483023,0.324978,0.281829,0.224253,0.435967,0.501906,0.199893,0.213055,0.357307,0.264326,0.544559,0.611403,0.609272,0.557506,0.473725,0.245976,0.257253,0.406433
u063,0.695544,0.684909,0.607017,0.689868,0.474854,0.327601,0.725648,0.558895,0.564121,0.585551,0.395767,0.592244,0.418276,0.337193,0.547304,0.489827,0.59785,0.634615,0.422652,0.216879,0.19434,0.64234,0.516964,0.193032,0.236625,0.359625,0.159939,0.28773,0.726874,0.471696,0.560888,0.406557,0.263134,0.269006,0.457341
u064,0.644945,0.668552,0.645959,0.61179,0.579046,0.335518,0.607865,0.542934,0.532506,0.592237,0.517358,0.491019,0.446221,0.505046,0.557177,0.55348,0.663505,0.578122,0.516746,0.237178,0.203113,0.653301,0.415239,0.247267,0.250307,0.276997,0.253853,0.423594,0.608043,0.626228,0.570377,0.505574,0.37045,0.277378,0.381837
u065,0.567707,0.68709,0.572912,0.525919,0.57376,0.376132,0.623205,0.517536,0.44037,0.567533,0.458882,0.543864,0.47404,0.3793,0.56934,0.535878,0.653839,0.554633,0.436241,0.584573,0.361148,0.662024,0.562265,0.58317,0.466375,0.722677,0.560721,0.583958,0.752788,0.682977,0.652279,0.632823,0.27677,0.440173,0.540301
u066,0.571001,0.658849,0.561847,0.589373,0.510352,0.393055,0.684224,0.538991,0.386835,0.395482,0.409486,0.524349,0.433287,0.331653,0.518816,0.423996,0.722373,0.503348,0.401725,0.270895,0.321037,0.823726,0.394215,0.26205,0.324883,0.349967,0.256038,0.575113,0.564619,0.601125,0.559409,0.525616,0.253309,0.206309,0.387834
u067,0.581977,0.602854,0.56027,0.567644,0.484013,0.156984,0.682781,0.742977,0.360892,0.498951,0.448383,0.418747,0.413126,0.3983,0.517595,0.479475,0.640025,0.331143,0.693967,0.235904,0.314082,0.215139,0.383043,0.204861,0.305855,0.324074,0.241953,0.220166,0.574943,0.536228,0.55728,0.535008,0.292636,0.283395,0.421851
u068,0.739249,0.628845,0.636753,0.641536,0.520354,0.419898,0.75206,0.465995,0.490951,0.55726,0.417733,0.482672,0.333365,0.390601,0.407084,0.355444,0.535532,0.517507,0.434331,0.313561,0.38075,0.484609,0.351366,0.239093,0.217698,0.466716,0.221749,0.54057,0.589994,0.573631,0.651367,0.548535,0.292718,0.230989,0.294787
u069,0.561728,0.532297,0.536111,0.553517,0.522185,0.294674,0.67486,0.672951,0.467406,0.549489,0.378454,0.531245,0.505978,0.471936,0.461876,0.484052,0.613247,0.597208,0.407674,0.308239,0.246023,0.718075,0.264184,0.335181,0.267095,0.474584,0.315721,0.408713,0.560749,0.530668,0.602355,0.511014,0.31994,0.297106,0.373972
u070,0.699702,0.598926,0.610527,0.603528,0.559243,0.277842,0.671502,0.570609,0.387246,0.584816,0.52476,0.517423,0.482643,0.456553,0.480032,0.44129,0.609934,0.489288,0.514813,0.229066,0.217935,0.596533,0.368679,0.293809,0.241983,0.221456,0.283377,0.273218,0.536642,0.507038,0.708481,0.623142,0.269187,0.337422,0.474726
u071,0.710806,0.620356,0.737019,0.631655,0.851529,0.539677,0.741211,0.602511,0.575223,0.527969,0.36051,0.5383,0.46806,0.42735,0.491102,0.388246,0.784197,0.680296,0.37506,0.233677,0.265035,0.375828,0.221986,0.231328,0.241104,0.320619,0.200585,0.312975,0.728517,0.555631,0.718619,0.583547,0.355688,0.279572,0.384797
u072,0.724189,0.649506,0.59455,0.592708,0.689522,0.381391,0.745805,0.674293,0.520441,0.602458,0.521021,0.547724,0.468984,0.431041,0.513388,0.409385,0.541294,0.336929,0.342458,0.272713,0.286233,0.504946,0.363058,0.272015,0.129248,0.316338,0.269489,0.41292,0.565834,0.539434,0.571766,0.522329,0.330989,0.26995,0.398813
u073,0.68783,0.663899,0.622511,0.656925,0.58428,0.37538,0.647652,0.674703,0.507891,0.641684,0.469845,0.647007,0.513447,0.388093,0.510999,0.485995,0.627301,0.567363,0.470599,0.292522,0.196468,0.626815,0.563121,0.42173,0.375377,0.636991,0.304839,0.597771,0.640251,0.677661,0.650503,0.509485,0.344999,0.327898,0.490916
u074,0.69939,0.744982,0.622883,0.612509,0.332743,0.31326,0.646551,0.648801,0.577315,0.605811,0.342697,0.49828,0.394931,0.423955,0.496555,0.44416,0.73924,0.432326,0.375093,0.233641,0.231907,0.412387,0.553718,0.203965,0.326793,0.339243,0.206492,0.507167,0.610177,0.55032,0.51514,0.517195,0.331847,0.320071,0.472327
u075,0.712445,0.591732,0.592784,0.623922,0.592814,0.293494,0.726401,0.603038,0.572624,0.567024,0.467302,0.456912,0.470679,0.269315,0.513152,0.468363,0.696684,0.577445,0.391928,0.237485,0.269498,0.656968,0.451555,0.301557,0.200477,0.335401,0.277144,0.420124,0.684231,0.573184,0.595024,0.466719,0.353033,0.298496,0.475749
